dataset,task,source,n_samples,n_features,class_0_count,class_1_count,model,similarity,similarity_sigma,dense_median_runtime_seconds,blockwise_median_runtime_seconds,block_size,lower_min,lower_mean,lower_median,lower_max,upper_min,upper_mean,upper_median,upper_max,boundary_min,boundary_mean,boundary_median,boundary_max,positive_region_min,positive_region_mean,positive_region_median,positive_region_max
breast_cancer,original_binary,scikit-learn:breast_cancer,569,30,212,357,itfrs,gaussian,2.0,0.16942182999991928,0.10363422099999298,64,0.0011534055336002158,0.007765210519120222,0.004987960620900345,0.09001376554759766,0.9542064758166826,0.9970446610945124,0.9982106821719763,0.9997012325527644,0.8866921507900779,0.9892794505753919,0.993137651237861,0.9980317164494081,0.0011534055336002158,0.007765210519120222,0.004987960620900345,0.09001376554759766
breast_cancer,original_binary,scikit-learn:breast_cancer,569,30,212,357,vqrs,gaussian,2.0,0.1478374559999338,0.10023021799997878,64,0.0,0.3621534427733025,0.5739022804963891,0.5895521560830604,0.5321801679076787,0.8313240042580655,1.0,1.0,0.41044784391693956,0.46917056148476294,0.42609771950361086,0.565017752327986,0.0,0.3621534427733025,0.5739022804963891,0.5895521560830604
breast_cancer,original_binary,scikit-learn:breast_cancer,569,30,212,357,owafrs,gaussian,2.0,0.19522522099987327,0.10298200000011093,64,0.14644186961453515,0.32002846375025035,0.40819946063867585,0.45237307095837875,0.5490681738893811,0.7523345214679187,0.846964069082653,0.8541684004949215,0.31507859763900925,0.4323060577176683,0.4378757438860043,0.4481981735681549,0.14644186961453515,0.32002846375025035,0.40819946063867585,0.45237307095837875
wine_class_0_vs_rest,one_vs_rest,scikit-learn:wine,178,13,119,59,itfrs,gaussian,2.0,0.0064283930000783585,0.005385237999917081,64,0.00498752080731768,0.018715132426517563,0.017790814128989918,0.04549758058170472,0.9743766179947567,0.9949633126028771,0.9958392625593355,0.9988591120938323,0.9430966324760085,0.9762481801763593,0.9767983748198661,0.9927432636835197,0.00498752080731768,0.018715132426517563,0.017790814128989918,0.04549758058170472
wine_class_0_vs_rest,one_vs_rest,scikit-learn:wine,178,13,119,59,vqrs,gaussian,2.0,0.006550973000003069,0.005432994999864604,64,0.0,0.4483423597821794,0.6677231458146335,0.679047241487358,0.45863014568629973,0.823955587688422,1.0,1.0,0.32095275851264204,0.3756132279062427,0.3322768541853664,0.4809083501097316,0.0,0.4483423597821794,0.6677231458146335,0.679047241487358
wine_class_0_vs_rest,one_vs_rest,scikit-learn:wine,178,13,119,59,owafrs,gaussian,2.0,0.00899250700012999,0.006854577000012796,64,0.13168126308589742,0.3627705331888014,0.46699411201853724,0.48416298314385775,0.5312136478865067,0.7517926068528878,0.8552680626636697,0.8674416130823308,0.3526225474302001,0.3890220736640863,0.39132669188900304,0.40771214987572146,0.13168126308589742,0.3627705331888014,0.46699411201853724,0.48416298314385775
digits_3_vs_8,pairwise_binary,scikit-learn:digits,357,64,183,174,itfrs,gaussian,2.0,0.06871558600005301,0.07301728400011598,64,0.03650702535093209,0.06835839364236564,0.06789750764047242,0.11750309741540466,0.8824969025845953,0.9699589366398095,0.9745042037618817,0.9956151105735179,0.7649938051691907,0.901600542997444,0.9052557923717589,0.9454036939806472,0.03650702535093209,0.06835839364236564,0.06789750764047242,0.11750309741540466
digits_3_vs_8,pairwise_binary,scikit-learn:digits,357,64,183,174,vqrs,gaussian,2.0,0.0690594959999089,0.07951646700007586,64,0.20830718246680383,0.25891037129948974,0.2762879885282382,0.3048713335196668,0.766645745973443,0.8071282970395919,0.8210303908225907,0.8438970668157335,0.5390257332960667,0.5482179257401021,0.5447424022943524,0.5583385635066392,0.20830718246680383,0.25891037129948974,0.2762879885282382,0.3048713335196668
digits_3_vs_8,pairwise_binary,scikit-learn:digits,357,64,183,174,owafrs,gaussian,2.0,0.07577292499991017,0.08016495399988344,64,0.29781773431867786,0.33056384967954466,0.3350480596803425,0.34877211385611323,0.6486864683808021,0.6817425305405571,0.6774730113774766,0.7113316385311556,0.32216217559825006,0.35117868086101245,0.3516790437432674,0.3794508277842946,0.29781773431867786,0.33056384967954466,0.3350480596803425,0.34877211385611323
