dataset,model,rank,sample_index,original_label,binary_label,lower,upper,boundary,absolute_boundary_gap,positive_region
breast_cancer,itfrs,1,363,1,1,0.0011534055336002158,0.9991851219830084,0.9980317164494081,0.9980317164494081,0.0011534055336002158
breast_cancer,itfrs,2,79,1,1,0.0017631858947403378,0.9997012325527644,0.9979380466580241,0.9979380466580241,0.0017631858947403378
breast_cancer,itfrs,3,107,1,1,0.0013202849631631652,0.99911932806725,0.9977990431040868,0.9977990431040868,0.0013202849631631652
breast_cancer,itfrs,4,457,1,1,0.0016316010871871844,0.9992899203543976,0.9976583192672104,0.9976583192672104,0.0016316010871871844
breast_cancer,itfrs,5,143,1,1,0.0017450706616749523,0.9993595516346189,0.9976144809729439,0.9976144809729439,0.0017450706616749523
breast_cancer,itfrs,6,495,1,1,0.0016104933875602523,0.9991851219830084,0.9975746285954481,0.9975746285954481,0.0016104933875602523
breast_cancer,itfrs,7,483,1,1,0.0018204767883879258,0.9992946009605439,0.997474124172156,0.997474124172156,0.0018204767883879258
breast_cancer,itfrs,8,490,1,1,0.0014472611983825656,0.9988941568735186,0.997446895675136,0.997446895675136,0.0014472611983825656
breast_cancer,itfrs,9,100,0,0,0.0012745671117501134,0.9987080464051731,0.997433479293423,0.997433479293423,0.0012745671117501134
breast_cancer,itfrs,10,90,1,1,0.0020182849309597906,0.99944408528162,0.9974258003506602,0.9974258003506602,0.0020182849309597906
breast_cancer,vqrs,1,108,0,0,0.0,0.565017752327986,0.565017752327986,0.565017752327986,0.0
breast_cancer,vqrs,2,122,0,0,0.0,0.5639244646483075,0.5639244646483075,0.5639244646483075,0.0
breast_cancer,vqrs,3,352,0,0,0.0,0.563636620108477,0.563636620108477,0.563636620108477,0.0
breast_cancer,vqrs,4,82,0,0,0.0,0.5628538355283077,0.5628538355283077,0.5628538355283077,0.0
breast_cancer,vqrs,5,181,0,0,0.0,0.5612480362807828,0.5612480362807828,0.5612480362807828,0.0
breast_cancer,vqrs,6,180,0,0,0.0,0.5609608411314246,0.5609608411314246,0.5609608411314246,0.0
breast_cancer,vqrs,7,202,0,0,0.0,0.5600276323246438,0.5600276323246438,0.5600276323246438,0.0
breast_cancer,vqrs,8,562,0,0,0.0,0.5593829551934373,0.5593829551934373,0.5593829551934373,0.0
breast_cancer,vqrs,9,26,0,0,0.0,0.5590102001485282,0.5590102001485282,0.5590102001485282,0.0
breast_cancer,vqrs,10,236,0,0,0.0,0.5581648721243728,0.5581648721243728,0.5581648721243728,0.0
breast_cancer,owafrs,1,356,1,1,0.40406117607731745,0.8522593496454723,0.4481981735681549,0.4481981735681549,0.40406117607731745
breast_cancer,owafrs,2,141,0,0,0.14658176471893847,0.5946930804672682,0.44811131574832974,0.44811131574832974,0.14658176471893847
breast_cancer,owafrs,3,204,1,1,0.40556756101340624,0.8536308812127055,0.44806332019929923,0.44806332019929923,0.40556756101340624
breast_cancer,owafrs,4,523,1,1,0.40537796010257576,0.85237957417963,0.4470016140770542,0.4470016140770542,0.40537796010257576
breast_cancer,owafrs,5,340,1,1,0.4044345903113032,0.8513602791074458,0.4469256887961427,0.4469256887961427,0.4044345903113032
breast_cancer,owafrs,6,216,1,1,0.4056867570857861,0.8525885988756825,0.44690184178989634,0.44690184178989634,0.4056867570857861
breast_cancer,owafrs,7,423,1,1,0.4046080691435873,0.8513557835091204,0.4467477143655331,0.4467477143655331,0.4046080691435873
breast_cancer,owafrs,8,396,1,1,0.4041257066234408,0.8506560081128003,0.44653030148935946,0.44653030148935946,0.4041257066234408
breast_cancer,owafrs,9,88,1,1,0.40547395526918467,0.8518225434422748,0.4463485881730902,0.4463485881730902,0.40547395526918467
breast_cancer,owafrs,10,255,0,0,0.14766454131939655,0.5939788849231775,0.446314343603781,0.446314343603781,0.14766454131939655
wine_class_0_vs_rest,itfrs,1,35,0,1,0.00498752080731768,0.9977307844908374,0.9927432636835197,0.9927432636835197,0.00498752080731768
wine_class_0_vs_rest,itfrs,2,44,0,1,0.005626212300100519,0.9977509746840413,0.9921247623839408,0.9921247623839408,0.005626212300100519
wine_class_0_vs_rest,itfrs,3,81,1,0,0.00498752080731768,0.9969036617361383,0.9919161409288206,0.9919161409288206,0.00498752080731768
wine_class_0_vs_rest,itfrs,4,23,0,1,0.005745084899159814,0.9971560630642253,0.9914109781650655,0.9914109781650655,0.005745084899159814
wine_class_0_vs_rest,itfrs,5,98,1,0,0.005626212300100519,0.9963437043779092,0.9907174920778087,0.9907174920778087,0.005626212300100519
wine_class_0_vs_rest,itfrs,6,102,1,0,0.006987247728924895,0.9969982801039466,0.9900110323750217,0.9900110323750217,0.006987247728924895
wine_class_0_vs_rest,itfrs,7,24,0,1,0.007725375099393084,0.9977307844908374,0.9900054093914443,0.9900054093914443,0.007725375099393084
wine_class_0_vs_rest,itfrs,8,36,0,1,0.007142823584342595,0.9967857465470168,0.9896429229626742,0.9896429229626742,0.007142823584342595
wine_class_0_vs_rest,itfrs,9,38,0,1,0.005936964372394438,0.9955440906821386,0.9896071263097441,0.9896071263097441,0.005936964372394438
wine_class_0_vs_rest,itfrs,10,4,0,1,0.006987247728924895,0.9963019211485492,0.9893146734196243,0.9893146734196243,0.006987247728924895
wine_class_0_vs_rest,vqrs,1,18,0,1,0.0,0.4809083501097316,0.4809083501097316,0.4809083501097316,0.0
wine_class_0_vs_rest,vqrs,2,3,0,1,0.0,0.47784468247826123,0.47784468247826123,0.47784468247826123,0.0
wine_class_0_vs_rest,vqrs,3,10,0,1,0.0,0.47586911934173953,0.47586911934173953,0.47586911934173953,0.0
